actual,horizon_step,origin,p10,p50,p90,residual,station_guid,target_time,residual_median,residual_scale,outside_interval,residual_score,large_residual,anomaly,review_reason
4.4704999923706055,1,2025-10-01T00:00:00+00:00,4.415375232696533,4.498046875,4.545677185058594,-0.02754688262939453,8496ce69-482c-406a-a2f0-ac418ef8f099,2025-10-01T00:00:00+00:00,-0.0565335750579834,0.0001367965221405029,False,211.896413556602,True,True,large_residual
4.467750072479248,2,2025-10-01T00:00:00+00:00,4.413233280181885,4.492439270019531,4.565883159637451,-0.024689197540283203,8496ce69-482c-406a-a2f0-ac418ef8f099,2025-10-01T01:00:00+00:00,-0.05688285827636719,0.0019031330108642576,False,16.916138048314387,True,True,large_residual
4.460750102996826,3,2025-10-01T00:00:00+00:00,4.420676231384277,4.496282577514648,4.5680060386657715,-0.035532474517822266,8496ce69-482c-406a-a2f0-ac418ef8f099,2025-10-01T02:00:00+00:00,-0.0649712085723877,0.0016002011775970459,False,18.396895632068166,True,True,large_residual
4.46150016784668,4,2025-10-01T00:00:00+00:00,4.43043851852417,4.5034308433532715,4.561735153198242,-0.0419306755065918,8496ce69-482c-406a-a2f0-ac418ef8f099,2025-10-01T03:00:00+00:00,-0.06969833374023438,0.0024057806968688965,False,11.542057125066284,True,True,large_residual
4.460000038146973,5,2025-10-01T00:00:00+00:00,4.43759822845459,4.509005546569824,4.555392265319824,-0.04900550842285156,8496ce69-482c-406a-a2f0-ac418ef8f099,2025-10-01T04:00:00+00:00,-0.07552003860473633,0.008664486694335937,False,3.0601385999262467,False,False,
4.454999923706055,6,2025-10-01T00:00:00+00:00,4.442323684692383,4.512430667877197,4.550321578979492,-0.05743074417114258,8496ce69-482c-406a-a2f0-ac418ef8f099,2025-10-01T05:00:00+00:00,-0.08076763153076172,0.007533352661132812,False,3.097808958290545,False,False,
4.456999778747559,7,2025-10-01T00:00:00+00:00,4.445940971374512,4.513913154602051,4.546148300170898,-0.05691337585449219,8496ce69-482c-406a-a2f0-ac418ef8f099,2025-10-01T06:00:00+00:00,-0.08083581924438477,0.016034531879425048,False,1.4919327592337774,False,False,
4.44950008392334,8,2025-10-01T00:00:00+00:00,4.449443817138672,4.513484954833984,4.54257869720459,-0.06398487091064453,8496ce69-482c-406a-a2f0-ac418ef8f099,2025-10-01T07:00:00+00:00,-0.0693821907043457,0.016225410747528077,False,0.3326461115644451,False,False,
4.448750019073486,9,2025-10-01T00:00:00+00:00,4.453216552734375,4.511178970336914,4.539658069610596,-0.062428951263427734,8496ce69-482c-406a-a2f0-ac418ef8f099,2025-10-01T08:00:00+00:00,-0.06367206573486328,0.01676340637207031,True,0.07415643597990401,False,True,outside_p10_p90
4.451000213623047,10,2025-10-01T00:00:00+00:00,4.45728063583374,4.5073561668396,4.537484645843506,-0.056355953216552734,8496ce69-482c-406a-a2f0-ac418ef8f099,2025-10-01T09:00:00+00:00,-0.061582326889038086,0.008462649965286255,True,0.6175812179310155,False,True,outside_p10_p90
